name,type,parish,code,longitude,latitude
Tanetane,Rural,St. John,DM04,-61.389145,15.497446
Toucari,Rural,St. John,DM04,-61.38000715,15.29264009
Morne Soleil,Rural,St. John,DM04,-61.445434,15.575519
One Mile,Suburban,St. John,DM04,-61.41122257,15.5903483
Grand Savane,Urban,St. Joseph,DM05,-61.376808,15.301794
Belles,Rural,St. Joseph,DM05,-61.344954,15.41052
Castaways,Rural,St. Joseph,DM05,-61.4193565,15.6297653
Coulibistrie,Rural,St. Joseph,DM05,-61.269125,15.25516
Layou,Rural,St. Joseph,DM05,-61.25691736,15.39167751
Layou Park,Rural,St. Joseph,DM05,-61.457358,15.556101
Mero,Rural,St. Joseph,DM05,-61.326048,15.264359
Morne Rachette,Rural,St. Joseph,DM05,-61.37499223,15.26041338
Penrice,Rural,St. Joseph,DM05,-61.34376,15.377564
Salisbury,Rural,St. Joseph,DM05,-61.45495544,15.57380172
St. Joseph,Rural,St. Joseph,DM05,-61.3898959,15.3020244
Macoucherie,Rural,St. Joseph,DM05,-61.38804,15.329628
Pointe Michel,Suburban,St. Luke,DM06,-61.25829761,15.35922217
Gallion,Rural,St. Mark,DM07,-61.253258,15.37185
Soufriere,Rural,St. Mark,DM07,-61.38572604,15.29893987
Scotts Head,Rural,St. Mark,DM07,-61.436179,15.437269
Stowe,Rural,St. Patrick,DM08,-61.25756247,15.49456635
Grand Coulibri,Rural,St. Patrick,DM08,-61.25507587,15.40339147
Geneva,Rural,St.Patrick,DM08,-61.46187261,15.6042875
Bagatelle,Rural,St. Patrick,DM08,-61.365825,15.21231
Boetica,Rural,St. Patrick,DM08,-61.354128,15.323817
Carib,Rural,St. Patrick,DM08,-61.370077,15.305103
Carse O' Gowrie,Rural,St. Patrick,DM08,-61.24782726,15.46754297
Delices,Rural,St. Patrick,DM08,-61.357259,15.234295
Dubuc,Rural,St. Patrick,DM08,-61.368935,15.346916
Fond Calabasse,Rural,St. Patrick,DM08,-61.374914,15.306125
